tag_id,image_id,p1_x,p_1y, p2_x, p2_y, p3_x, p3_y, p4_x, p4_y,general_class,sub_class,sunroof,luggage_carrier,open_cargo_area,enclosed_cab,spare_wheel,wrecked,flatbed,ladder,enclosed_box,soft_shell_box,harnessed_to_a_cart,ac_vents,color
16987,15318,3849.886719,70.85817719,3863.135742,65.217453,3883.113281,112.1418228,3869.864258,117.782547,small vehicle,sedan,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,white
25239,17048,653.0556641,270.0662231,648.0998535,244.1355591,711.9443359,231.9337616,716.9001465,257.8644409,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,silver/grey
39554,14255,639.2647095,201.2149963,664.4621582,193.3379517,687.7352905,267.7850037,662.5378418,275.6620483,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,silver/grey
21840,17266,3834.14433,621.9017031,3851.807034,609.3959596,3883.361444,645.592523,3865.072296,660.6040404,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,red
28058,14204,710.0413208,444.8566284,680.0814819,453.5658569,654.9586792,367.1433716,684.9185181,358.4341431,small vehicle,van,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,white
29142,16259,598.8764038,386.7316589,632.0509644,410.4822998,597.1235962,459.2683411,563.9490356,435.5177002,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,black
13104,15850,1663.726685,1772.926025,1668.475098,1756.811157,1720.273315,1772.073975,1715.524902,1788.188843,small vehicle,sedan,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,white
21336,16375,215.9170685,497.8050537,212.1632996,476.5337219,282.0829468,464.1949463,285.8367004,485.4662781,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,white
36022,17591,1033.808789,1276.613146,1025.653106,1313.313721,1041.964473,1315.862372,1048.590965,1280.181258,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,white
24527,18909,1291.111897,1013.354097,1288.563246,1050.564403,1300.287041,1052.603323,1303.855152,1017.431939,small vehicle,sedan,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,white
32790,19531,1429.020142,2105.118164,1442.398315,2091.346191,1478.979858,2126.881836,1465.601685,2140.653809,small vehicle,hatchback,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,white
18502,16036,504.9343872,577.1514282,483.8938293,582.0355835,468.0656128,513.8485718,489.1061707,508.9644165,small vehicle,hatchback,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,white
12847,18941,125.3609009,296.2963867,114.4356155,274.9272766,169.6390991,246.7036285,180.5643921,268.0727234,small vehicle,hatchback,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,black
33700,17756,42.03413391,215.653656,35.74172974,194.990509,96.96586609,176.346344,103.2582703,197.009491,small vehicle,hatchback,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,red
25770,15443,2197.697021,231.521347,2207.824463,218.1171722,2253.302979,252.478653,2243.175537,265.8828125,small vehicle,pickup,0,1,0,1,0,0,-1,-1,-1,-1,-1,-1,white
39779,15850,3597.766602,977.6772461,3614.140869,973.9191895,3628.233398,1035.322754,3611.859131,1039.080811,small vehicle,van,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,white
39551,15159,870.569519,115.166832,889.2629395,119.548111,874.430481,182.8331604,855.7370605,178.451889,small vehicle,jeep,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,white
25379,16772,875.213623,381.3736267,896.8018188,380.6592102,898.786377,440.6263733,877.1981812,441.3407898,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,silver/grey
34733,19660,390.1711426,452.5092468,378.6034241,434.2678528,420.8288574,407.4907532,432.3965759,425.7321472,small vehicle,jeep,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,white
28586,13868,156.1395111,436.4282532,182.3368073,433.1629944,191.8604736,509.5717468,165.6631927,512.8370361,small vehicle,minivan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,white
29065,10362,686.8613874,1289.918761,685.6278403,1300.403911,717.0832914,1309.655514,722.0174798,1296.70327,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,black
35225,11246,763.0626221,422.4856262,767.9494629,391.6707153,848.9373779,404.5143738,844.0505371,435.3292847,small vehicle,jeep,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,silver/grey
39116,10875,666.5103149,439.7958679,655.9979858,410.4201965,712.489624,390.2041321,723.0020142,419.5798035,small vehicle,hatchback,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,black
38069,18330,811.414978,325.911377,832.8869629,323.5628967,841.585022,403.088623,820.1130371,405.4371033,small vehicle,jeep,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,silver/grey
32068,15402,2192.75293,1846.529663,2190.585693,1827.452393,2243.24707,1821.470337,2245.414307,1840.547607,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,white
34913,15844,645.0878296,372.1646729,622.7219849,358.1386719,659.9121704,298.8353271,682.2780151,312.8613586,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,white
29522,14492,127.5475922,56.62028503,148.9836578,53.96411896,158.4523926,130.379715,137.0163422,133.0358887,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,silver/grey
16715,18132,444.4817505,305.2113647,467.9727173,300.2945557,482.5182495,369.7886353,459.0272827,374.7054443,small vehicle,jeep,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,white
12957,16699,181.6151123,105.5491867,159.7876587,95.57111359,191.3848877,26.45082092,213.2123413,36.42889404,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,white
25487,13309,355.032682,714.1315143,371.5578752,754.5264311,357.7868809,760.0348288,341.2616876,718.7218458,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,silver/grey
13290,14550,219.6529541,43.25379181,201.7328491,50.14651871,182.3470459,-0.253787994,200.2671509,-7.146514416,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,other
37419,15879,376.5012207,524.6195068,409.8905945,520.8632202,418.4987793,597.3804932,385.1094055,601.1367798,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,red
29943,18229,384.6097412,298.8574219,402.9892883,293.3047485,424.3902588,364.1425781,406.0107117,369.6952515,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,silver/grey
26258,17591,1876.508289,407.0638011,1886.606179,408.1924135,1875.789518,439.4466524,1865.30866,434.4883615,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,yellow
31019,14016,311.2932434,466.3138123,324.1730042,472.7536926,302.7067566,515.6861572,289.8269958,509.2463074,small vehicle,hatchback,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,white
28995,15811,645.4951782,62.73381805,647.8947754,41.26751328,710.5048218,48.26618195,708.1052246,69.73249054,small vehicle,hatchback,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,green
24361,19531,752.473938,932.461853,773.6994629,928.4570313,783.526062,980.538147,762.3005371,984.5429688,small vehicle,sedan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,blue
15365,18470,532.8997803,505.8460999,514.3831787,500.7689819,532.1002197,436.1539001,550.6168213,441.2310181,small vehicle,minivan,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,blue
17772,10780,157.1198852,1294.660737,155.2050459,1302.703062,178.9490526,1319.553648,183.5446668,1308.44758,small vehicle,sedan,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,other
