sigma,color_accuracy,vehicle_accuracy
0.0,0.8906774554532151,0.6261513299474908
0.34782608695652173,0.8899888095033142,0.6232245846604114
0.6956521739130435,0.8280967547559611,0.5301713006800379
1.0434782608695652,0.78462597916846,0.4803305500559525
1.391304347826087,0.7442541103555135,0.44331583024877336
1.7391304347826086,0.7035379185676164,0.4105190668847379
2.0869565217391304,0.6592924162864767,0.3889128002065938
2.4347826086956523,0.6102263923560299,0.37462339674614786
2.782608695652174,0.5612464491693209,0.3647241112163209
3.130434782608696,0.5101144873891711,0.3561160368425583
3.4782608695652173,0.4640612894895412,0.3524145648618404
3.8260869565217392,0.419471464233451,0.34621675131273133
4.173913043478261,0.3802186450890936,0.34087974520099856
4.521739130434782,0.3487130928811225,0.3359731428079539
4.869565217391305,0.3151416028234484,0.3298614100025824
5.217391304347826,0.28432469656537834,0.32357751570973575
5.565217391304348,0.2653869329431006,0.31720754067315143
5.913043478260869,0.2457605233709219,0.3135060686924335
6.260869565217392,0.22880261685460962,0.31238701902384436
6.608695652173913,0.21623482826891624,0.3107514848928295
6.956521739130435,0.20289231298958424,0.30963243522424033
7.304347826086956,0.19221830076611862,0.3104932426616166
7.6521739130434785,0.18257725746750453,0.31471119910476025
8.0,0.1758629594559697,0.3203925281914436
